data,criterion,seed,method,K,score,runtime
Atom,silhouette,1,Clus,3,0.5145478958932738,0.038166425
Atom,silhouette,2,Clus,3,0.5145478958932738,0.040899928
Atom,silhouette,3,Clus,3,0.5145478958932738,0.033869874
Atom,silhouette,4,Clus,3,0.5145478958932738,0.034550019
Atom,silhouette,5,Clus,3,0.5145478958932738,0.03218419
Atom,dunnindex,1,Clus,2,0.016418980075690048,0.035479232
Atom,dunnindex,2,Clus,2,0.016418980075690048,0.034896692
Atom,dunnindex,3,Clus,2,0.016418980075690048,0.031794202
Atom,dunnindex,4,Clus,2,0.016418980075690048,0.036615695
Atom,dunnindex,5,Clus,2,0.016418980075690048,0.032996662
Chainlink,silhouette,1,Clus,3,0.32053678209271097,0.037251261
Chainlink,silhouette,2,Clus,3,0.32053678209271097,0.035337527
Chainlink,silhouette,3,Clus,3,0.32053678209271097,0.031249282
Chainlink,silhouette,4,Clus,3,0.32053678209271097,0.034623842
Chainlink,silhouette,5,Clus,3,0.32053678209271097,0.031180834
Chainlink,dunnindex,1,Clus,2,0.016595311393099384,0.045001842
Chainlink,dunnindex,2,Clus,2,0.016595311393099384,0.042146215
Chainlink,dunnindex,3,Clus,2,0.016595311393099384,0.03697521
Chainlink,dunnindex,4,Clus,2,0.016595311393099384,0.046990024
Chainlink,dunnindex,5,Clus,2,0.016595311393099384,0.039179076
EngyTime,silhouette,1,Clus,2,0.378692462827523,0.472622611
EngyTime,silhouette,2,Clus,2,0.378692462827523,0.333075172
EngyTime,silhouette,3,Clus,2,0.378692462827523,0.33340202
EngyTime,silhouette,4,Clus,2,0.378692462827523,0.332385165
EngyTime,silhouette,5,Clus,2,0.378692462827523,0.33394321
EngyTime,dunnindex,1,Clus,3,0.002339797973992625,0.937498154
EngyTime,dunnindex,2,Clus,3,0.002339797973992625,1.060220787
EngyTime,dunnindex,3,Clus,3,0.002339797973992625,1.06801317
EngyTime,dunnindex,4,Clus,3,0.002339797973992625,1.044727799
EngyTime,dunnindex,5,Clus,3,0.002339797973992625,1.080232885
Hepta,silhouette,1,Clus,3,0.28030013913292406,0.015718885
Hepta,silhouette,2,Clus,3,0.28030013913292406,0.014101393
Hepta,silhouette,3,Clus,3,0.28030013913292406,0.012848488
Hepta,silhouette,4,Clus,3,0.28030013913292406,0.015985574
Hepta,silhouette,5,Clus,3,0.28030013913292406,0.012302003
Hepta,dunnindex,1,Clus,1,0.3104571036864843,0.013308723
Hepta,dunnindex,2,Clus,1,0.3104571036864843,0.016146949
Hepta,dunnindex,3,Clus,1,0.3104571036864843,0.014823335
Hepta,dunnindex,4,Clus,1,0.3104571036864843,0.015497683
Hepta,dunnindex,5,Clus,1,0.3104571036864843,0.015420679
Lsun,silhouette,1,Clus,2,0.5485664227014923,0.023452927
Lsun,silhouette,2,Clus,2,0.5485664227014923,0.105140309
Lsun,silhouette,3,Clus,2,0.5485664227014923,0.015241876
Lsun,silhouette,4,Clus,2,0.5485664227014923,0.014284099
Lsun,silhouette,5,Clus,2,0.5485664227014923,0.017358326
Lsun,dunnindex,1,Clus,3,0.023113761617654747,0.018613093
Lsun,dunnindex,2,Clus,3,0.023113761617654747,0.020257517
Lsun,dunnindex,3,Clus,3,0.023113761617654747,0.027784035
Lsun,dunnindex,4,Clus,3,0.023113761617654747,0.014681311
Lsun,dunnindex,5,Clus,3,0.023113761617654747,0.014380095
Target,silhouette,1,Clus,3,0.5097928468889492,0.023630725
Target,silhouette,2,Clus,3,0.5097928468889492,0.030901626
Target,silhouette,3,Clus,3,0.5097928468889492,0.024370227
Target,silhouette,4,Clus,3,0.5097928468889492,0.027936689
Target,silhouette,5,Clus,3,0.5097928468889492,0.019659129
Target,dunnindex,1,Clus,1,0.015925113209522293,0.028484027
Target,dunnindex,2,Clus,1,0.015925113209522293,0.024947225
Target,dunnindex,3,Clus,1,0.015925113209522293,0.029249932
Target,dunnindex,4,Clus,1,0.015925113209522293,0.029697837
Target,dunnindex,5,Clus,1,0.015925113209522293,0.033604756
Tetra,silhouette,1,Clus,1,0.3139178483983716,0.019109391
Tetra,silhouette,2,Clus,1,0.3139178483983716,0.01591269
Tetra,silhouette,3,Clus,1,0.3139178483983716,0.01877096
Tetra,silhouette,4,Clus,1,0.3139178483983716,0.020846971
Tetra,silhouette,5,Clus,1,0.3139178483983716,0.02070199
Tetra,dunnindex,1,Clus,1,0.06510807163721226,0.017464866
Tetra,dunnindex,2,Clus,1,0.06510807163721226,0.018911203
Tetra,dunnindex,3,Clus,1,0.06510807163721226,0.020720279
Tetra,dunnindex,4,Clus,1,0.06510807163721226,0.02004209
Tetra,dunnindex,5,Clus,1,0.06510807163721226,0.019504605
TwoDiamonds,silhouette,1,Clus,1,0.48355283013327416,0.028065328
TwoDiamonds,silhouette,2,Clus,1,0.48355283013327416,0.024713627
TwoDiamonds,silhouette,3,Clus,1,0.48355283013327416,0.026128984
TwoDiamonds,silhouette,4,Clus,1,0.48355283013327416,0.024200899
TwoDiamonds,silhouette,5,Clus,1,0.48355283013327416,0.024070999
TwoDiamonds,dunnindex,1,Clus,3,0.028410422681619092,0.033954691
TwoDiamonds,dunnindex,2,Clus,3,0.028410422681619092,0.030349409
TwoDiamonds,dunnindex,3,Clus,3,0.028410422681619092,0.031808752
TwoDiamonds,dunnindex,4,Clus,3,0.028410422681619092,0.028708972
TwoDiamonds,dunnindex,5,Clus,3,0.028410422681619092,0.029953252
WingNut,silhouette,1,Clus,2,0.42809708936230795,0.034897483
WingNut,silhouette,2,Clus,2,0.42809708936230795,0.030976302
WingNut,silhouette,3,Clus,2,0.42809708936230795,0.030376075
WingNut,silhouette,4,Clus,2,0.42809708936230795,0.028218041
WingNut,silhouette,5,Clus,2,0.42809708936230795,0.026551936
WingNut,dunnindex,1,Clus,1,0.06325961245733681,0.03844116
WingNut,dunnindex,2,Clus,1,0.06325961245733681,0.039167597
WingNut,dunnindex,3,Clus,1,0.06325961245733681,0.036104887
WingNut,dunnindex,4,Clus,1,0.06325961245733681,0.04318696
WingNut,dunnindex,5,Clus,1,0.06325961245733681,0.041097889
